mse_penalty,tol,breakpoint_reg,t_squared_objective,z_squared_objective,lower_bound,upper_bound
0.6666666666666666,1e-09,0.0,True,False,0.0480519423219393,
0.6666666666666666,1e-09,0.0,False,True,0.048860673485699,
0.6666666666666666,1e-09,0.0,False,False,0.0124250891875307,
0.6666666666666666,1e-09,1e-12,True,True,0.0488606867117643,
0.6666666666666666,1e-09,1e-12,True,False,0.0480519422598984,
0.6666666666666666,1e-09,1e-12,False,True,0.0488606725096922,
0.6666666666666666,1e-09,1e-12,False,False,0.0124250892127575,
0.6666666666666666,1e-09,1e-08,True,True,0.0488606881528972,
0.6666666666666666,1e-09,1e-08,True,False,0.0480519454509531,
0.6666666666666666,1e-09,1e-08,False,True,0.0488606763021903,1.0468383393850869
0.6666666666666666,1e-09,1e-08,False,False,0.0124250895550924,
1.0,1e-06,0.0,True,True,0.0488635865837488,
1.0,1e-06,0.0,True,False,0.048495267386703,1.1124454548658964
1.0,1e-06,0.0,False,True,0.0488503732486816,
1.0,1e-06,0.0,False,False,0.018451444948852,
1.0,1e-06,1e-12,True,True,0.0488635852943813,1.0468500017126257
1.0,1e-06,1e-12,True,False,0.0484952685577259,1.1124454548746907
1.0,1e-06,1e-12,False,True,0.0488503746487067,
1.0,1e-06,1e-12,False,False,0.0184514449595213,2.2145698424793343
1.0,1e-06,1e-08,True,True,0.0488635891503291,
1.0,1e-06,1e-08,True,False,0.0484952704948926,1.1124455421608026
1.0,1e-06,1e-08,False,True,0.048850377754637,
1.0,1e-06,1e-08,False,False,0.0184514454963687,2.214569842474221
1.0,1e-09,0.0,True,True,0.0488606653949059,
1.0,1e-09,0.0,True,False,0.0485090702281768,
1.0,1e-09,0.0,False,True,0.0488606691867219,1.046838339532664
1.0,1e-09,0.0,False,False,0.0184515571916883,
1.0,1e-09,1e-12,True,True,0.048860663957276,
1.0,1e-09,1e-12,True,False,0.0485090686446987,
1.0,1e-09,1e-12,False,True,0.0488606901449701,
1.0,1e-09,1e-12,False,False,0.0184515572039208,
1.0,1e-09,1e-08,True,True,0.0488606680049651,
1.0,1e-09,1e-08,True,False,0.048509073403327,
1.0,1e-09,1e-08,False,True,0.0488606715587015,1.046838339531291
1.0,1e-09,1e-08,False,False,0.0184515577403161,
1.3333333333333333,1e-06,0.0,True,True,0.0488502867132991,1.046844907514522
1.3333333333333333,1e-06,0.0,True,False,0.0486933846063373,1.0468392277356593
1.3333333333333333,1e-06,0.0,False,True,0.0488520308738311,
1.3333333333333333,1e-06,0.0,False,False,0.0242706704853562,2.214578720839902
1.3333333333333333,1e-06,1e-12,True,True,0.0488502861787991,1.0468449075174795
1.3333333333333333,1e-06,1e-12,True,False,0.0486933842805543,1.0468392277386918
1.3333333333333333,1e-06,1e-12,False,True,0.0488520303047836,
1.3333333333333333,1e-06,1e-12,False,False,0.0242706704392719,
1.3333333333333333,1e-06,1e-08,True,True,0.048850290663807,1.0468449075207813
1.3333333333333333,1e-06,1e-08,True,False,0.0486933872444097,1.0468392280250545
1.3333333333333333,1e-06,1e-08,False,True,0.0488520322808787,
1.3333333333333333,1e-06,1e-08,False,False,0.0242706711960931,2.2145787208331784
1.3333333333333333,1e-09,0.0,True,True,0.0488606757526147,
1.3333333333333333,1e-09,0.0,True,False,0.048681019316859,
1.3333333333333333,1e-09,0.0,False,True,0.0488606723715686,
1.3333333333333333,1e-09,0.0,False,False,0.0242706060343911,
1.3333333333333333,1e-09,1e-12,True,True,0.048860675320088,
1.3333333333333333,1e-09,1e-12,True,False,0.0486810189982047,
1.3333333333333333,1e-09,1e-12,False,True,0.0488606717411147,
1.3333333333333333,1e-09,1e-12,False,False,0.024270605990881,
1.3333333333333333,1e-09,1e-08,True,True,0.0488606798328184,
1.3333333333333333,1e-09,1e-08,True,False,0.0486810222646775,
1.3333333333333333,1e-09,1e-08,False,True,0.0488606758360151,1.0468383393657952
1.3333333333333333,1e-09,1e-08,False,False,0.02427060674421,
1.6666666666666663,1e-06,0.0,True,True,0.0488514941528146,1.0468359822741418
1.6666666666666663,1e-06,0.0,True,False,0.0487578086712153,
1.6666666666666663,1e-06,0.0,False,True,0.0488781108154072,25.75822486800637
1.6666666666666663,1e-06,0.0,False,False,0.0298366482596052,2.214568594962414
1.6666666666666663,1e-06,1e-12,True,True,0.0488514951461929,1.046835982272489
1.6666666666666663,1e-06,1e-12,True,False,0.04875780813991,
1.6666666666666663,1e-06,1e-12,False,True,0.048878112924492,25.75822610428025
1.6666666666666663,1e-06,1e-12,False,False,0.029836648300033,2.2145685949625213
1.6666666666666663,1e-06,1e-08,True,True,0.048851498055107,1.046835981755179
1.6666666666666663,1e-06,1e-08,True,False,0.0487578105856846,
1.6666666666666663,1e-06,1e-08,False,True,0.0488781161084995,25.758136014465386
1.6666666666666663,1e-06,1e-08,False,False,0.0298366494059225,2.214568595012352
1.6666666666666663,1e-09,0.0,True,True,0.0488606884202167,
1.6666666666666663,1e-09,0.0,True,False,0.0487600694763735,1.0468383390824958
1.6666666666666663,1e-09,0.0,False,True,0.0488606746508114,
1.6666666666666663,1e-09,0.0,False,False,0.0298363484058175,
1.6666666666666663,1e-09,1e-12,True,True,0.0488606774417093,
1.6666666666666663,1e-09,1e-12,True,False,0.0487600689313617,1.0468383390832272
1.6666666666666663,1e-09,1e-12,False,True,0.0488606767357238,
1.6666666666666663,1e-09,1e-12,False,False,0.0298363484447664,
1.6666666666666663,1e-09,1e-08,True,True,0.0488606803173241,
1.6666666666666663,1e-09,1e-08,True,False,0.0487600713598678,
1.6666666666666663,1e-09,1e-08,False,True,0.0488606800780445,
1.6666666666666663,1e-09,1e-08,False,False,0.029836349554191,
2.0,1e-06,0.0,True,True,0.0488731498747062,
2.0,1e-06,0.0,True,False,0.0487986210674733,
2.0,1e-06,0.0,False,True,0.0488546993592003,
2.0,1e-06,0.0,False,False,0.0345842927333802,
2.0,1e-06,1e-12,True,True,0.0488731485767951,
2.0,1e-06,1e-12,True,False,0.0487986212658172,
2.0,1e-06,1e-12,False,True,0.0488546995439817,
2.0,1e-06,1e-12,False,False,0.0345842927430313,2.1522747671550047
2.0,1e-06,1e-08,True,True,0.048873151196171,
2.0,1e-06,1e-08,True,False,0.0487986233383039,
2.0,1e-06,1e-08,False,True,0.048854702195678,1.046838167534166
2.0,1e-06,1e-08,False,False,0.0345842940799103,
2.0,1e-09,0.0,True,True,0.0488606738969014,
2.0,1e-09,0.0,True,False,0.0488029682763701,
2.0,1e-09,0.0,False,True,0.0488606746534057,1.0468383394632788
2.0,1e-09,0.0,False,False,0.03458607368811,
2.0,1e-09,1e-12,True,True,0.0488606725755193,1.0468383391478324
2.0,1e-09,1e-12,True,False,0.0488029684792673,
2.0,1e-09,1e-12,False,True,0.0488606746750759,1.0468383394649097
2.0,1e-09,1e-12,False,False,0.0345860736986162,
2.0,1e-09,1e-08,True,True,0.0488606751665992,
2.0,1e-09,1e-08,True,False,0.0488029706427249,
2.0,1e-09,1e-08,False,True,0.0488606772849139,1.046838339465886
2.0,1e-09,1e-08,False,False,0.0345860750348889,
2.333333333333333,1e-06,0.0,True,True,0.0488609304251564,1.0468385171482686
2.333333333333333,1e-06,0.0,True,False,0.0488302276104537,1.0468369111023093
2.333333333333333,1e-06,0.0,False,True,0.0488531340145403,
2.333333333333333,1e-06,0.0,False,False,0.0378978453899798,2.0951558217717823
2.333333333333333,1e-06,1e-12,True,True,0.0488609306300562,1.0468385171481738
2.333333333333333,1e-06,1e-12,True,False,0.0488302278800325,1.0468369110652869
2.333333333333333,1e-06,1e-12,False,True,0.0488531354029281,
2.333333333333333,1e-06,1e-12,False,False,0.0378978453802712,
2.333333333333333,1e-06,1e-08,True,True,0.0488609327365885,1.046838517148448
2.333333333333333,1e-06,1e-08,True,False,0.0488301783505706,1.0468368556978238
2.333333333333333,1e-06,1e-08,False,True,0.0488531373302552,
2.333333333333333,1e-06,1e-08,False,False,0.0378978465996926,
2.333333333333333,1e-09,0.0,True,True,0.0488606853849443,
2.333333333333333,1e-09,0.0,True,False,0.0488288505428308,
2.333333333333333,1e-09,0.0,False,True,0.0488606767912752,1.0468383384644335
2.333333333333333,1e-09,0.0,False,False,0.0378980621651925,
2.333333333333333,1e-09,1e-12,True,True,0.0488606859482255,
2.333333333333333,1e-09,1e-12,True,False,0.0488288506745198,
2.333333333333333,1e-09,1e-12,False,True,0.0488606781796502,1.04683833846683
