mse_penalty,tol,breakpoint_reg,t_squared_objective,lower_bound,upper_bound
1.0,1e-06,1e-08,True,0.04849476606519085,
1.0,1e-06,1e-08,False,0.018451480497822113,1412.8854713555054
1.0,1e-09,0.0,True,0.04850906640486813,
1.0,1e-09,0.0,False,0.01845155654612674,
1.0,1e-09,1e-12,True,0.04850906650163329,
1.0,1e-09,1e-12,False,0.01845155662753691,
1.0,1e-09,1e-08,True,0.04850907652913692,
1.0,1e-09,1e-08,False,0.01845155890529707,
1.3333333333333333,1e-06,0.0,True,0.04868030809602321,
1.3333333333333333,1e-06,0.0,False,0.024270579207653988,
1.3333333333333333,1e-06,1e-12,True,0.048680308124777145,
1.3333333333333333,1e-06,1e-12,False,0.024270579226418548,
1.3333333333333333,1e-06,1e-08,True,0.04868031892913561,
1.3333333333333333,1e-06,1e-08,False,0.024270582266172794,2.2145740186956018
1.3333333333333333,1e-09,0.0,True,0.04868102462047746,
1.3333333333333333,1e-09,0.0,False,0.024270605714692552,
1.3333333333333333,1e-09,1e-12,True,0.048681024706482244,
1.3333333333333333,1e-09,1e-12,False,0.02427060573050379,
1.3333333333333333,1e-09,1e-08,True,0.048681035900666435,
1.3333333333333333,1e-09,1e-08,False,0.024270608772916848,
1.6666666666666665,1e-06,0.0,True,0.04875766785641841,1.0468355724281482
1.6666666666666665,1e-06,0.0,False,0.02983597888658141,2.2145914634689623
1.6666666666666665,1e-06,1e-12,True,0.048757668215810936,
1.6666666666666665,1e-06,1e-12,False,0.029835978769705885,2.214591463469633
1.6666666666666665,1e-06,1e-08,True,0.048757678705807564,
1.6666666666666665,1e-06,1e-08,False,0.02983598268022783,2.2145914633924457
1.6666666666666665,1e-09,0.0,True,0.04876007192597784,
1.6666666666666665,1e-09,0.0,False,0.02983635062739454,
1.6666666666666665,1e-09,1e-12,True,0.04876007261138409,
1.6666666666666665,1e-09,1e-12,False,0.029836350510763127,
1.6666666666666665,1e-09,1e-08,True,0.04876007687896046,
1.6666666666666665,1e-09,1e-08,False,0.02983635442011081,
2.0,1e-06,0.0,True,0.04879883905146314,
2.0,1e-06,0.0,False,0.034586434251403605,
2.0,1e-06,1e-12,True,0.04879883995558963,
2.0,1e-06,1e-12,False,0.034586434411395375,
2.0,1e-06,1e-08,True,0.04879885019496571,
2.0,1e-06,1e-08,False,0.034586439041724065,
2.0,1e-09,0.0,True,0.04880298102709861,
2.0,1e-09,0.0,False,0.03458607220143236,
2.0,1e-09,1e-12,True,0.048802981932335066,
2.0,1e-09,1e-12,False,0.0345860723620458,
2.0,1e-09,1e-08,True,0.048802992843628296,
2.0,1e-09,1e-08,False,0.03458607699317457,
2.333333333333333,1e-06,0.0,True,0.04883140592760702,1.0468369466628076
2.333333333333333,1e-06,0.0,False,0.037898179663353106,
2.333333333333333,1e-06,1e-12,True,0.04883140436243233,
2.333333333333333,1e-06,1e-12,False,0.03789817950018248,
2.333333333333333,1e-06,1e-08,True,0.04883147710347742,
2.333333333333333,1e-06,1e-08,False,0.03789818432636737,
2.333333333333333,1e-09,0.0,True,0.04882885408409171,
2.333333333333333,1e-09,0.0,False,0.03789806024810399,
2.333333333333333,1e-09,1e-12,True,0.04882884513024172,
2.333333333333333,1e-09,1e-12,False,0.037898060084023036,
2.333333333333333,1e-09,1e-08,True,0.048828855435562,1.0468383395229142
2.333333333333333,1e-09,1e-08,False,0.03789806491902967,
2.6666666666666665,1e-06,0.0,True,0.04884195462962823,1.0468273272916537
2.6666666666666665,1e-06,0.0,False,0.040297576461337005,2.0522653777235544
2.6666666666666665,1e-06,1e-12,True,0.048841954664198856,
2.6666666666666665,1e-06,1e-12,False,0.04029757655194721,2.0522653812332896
2.6666666666666665,1e-06,1e-08,True,0.04884196365115046,1.046827327472707
2.6666666666666665,1e-06,1e-08,False,0.04029761395676324,2.0522663637656517
2.6666666666666665,1e-09,0.0,True,0.04884614336203111,
2.6666666666666665,1e-09,0.0,False,0.040297077838887495,
2.6666666666666665,1e-09,1e-12,True,0.04884614337299691,
2.6666666666666665,1e-09,1e-12,False,0.04029707783781539,
2.6666666666666665,1e-09,1e-08,True,0.048846150551256545,
2.6666666666666665,1e-09,1e-08,False,0.04029708268778095,
3.0,1e-06,0.0,True,0.0488516676205015,
3.0,1e-06,0.0,False,0.04209519455712678,
3.0,1e-06,1e-12,True,0.04885166761776665,
3.0,1e-06,1e-12,False,0.042095194557833046,
3.0,1e-06,1e-08,True,0.04885167665591067,
3.0,1e-06,1e-08,False,0.04209520018163231,
3.0,1e-09,0.0,True,0.04885848424451574,
3.0,1e-09,0.0,False,0.04209433482116785,
3.0,1e-09,1e-12,True,0.04885848422111594,
3.0,1e-09,1e-12,False,0.042094334825161596,
3.0,1e-09,1e-08,True,0.04885849590118661,
3.0,1e-09,1e-08,False,0.04209434045602184,
3.333333333333333,1e-06,0.0,True,0.04886669158860022,
3.333333333333333,1e-06,0.0,False,0.04347417700736199,
3.333333333333333,1e-06,1e-12,True,0.04886669155641036,
3.333333333333333,1e-06,1e-12,False,0.043474177010403466,
3.333333333333333,1e-06,1e-08,True,0.048866697216469836,
3.333333333333333,1e-06,1e-08,False,0.04347418762371788,
3.333333333333333,1e-09,0.0,True,0.04885963047621929,
3.333333333333333,1e-09,0.0,False,0.04347576954304118,
3.333333333333333,1e-09,1e-12,True,0.04885964822824339,
3.333333333333333,1e-09,1e-12,False,0.04347576955254968,
3.333333333333333,1e-09,1e-08,True,0.04885963849821013,
3.333333333333333,1e-09,1e-08,False,0.04347577569167033,
3.6666666666666665,1e-06,0.0,True,0.04886083754016275,
3.6666666666666665,1e-06,0.0,False,0.04455893584614731,1.970448853286189
3.6666666666666665,1e-06,1e-12,True,0.048860837469651065,
3.6666666666666665,1e-06,1e-12,False,0.044558935846519064,1.970448853275931
3.6666666666666665,1e-06,1e-08,True,0.04885735816747507,1.0468356351497323
3.6666666666666665,1e-06,1e-08,False,0.04455894218387185,
3.6666666666666665,1e-09,0.0,True,0.048859833939699476,
3.6666666666666665,1e-09,0.0,False,0.0445591069989595,1.9705081590590292
3.6666666666666665,1e-09,1e-12,True,0.04885984536901127,
3.6666666666666665,1e-09,1e-12,False,0.044559106997953166,
3.6666666666666665,1e-09,1e-08,True,0.04885986469619509,
3.6666666666666665,1e-09,1e-08,False,0.04455911335261675,1.9705081595488385
4.0,1e-06,0.0,True,0.04886763073930982,
4.0,1e-06,0.0,False,0.04542510594109555,1.9522647485599915
4.0,1e-06,1e-12,True,0.04886763072730685,
4.0,1e-06,1e-12,False,0.045425105934501935,1.9522647485142197
4.0,1e-06,1e-08,True,0.048867642176556765,1.0468385124439683
4.0,1e-06,1e-08,False,0.045425112756601584,1.9522647486550273
4.0,1e-09,0.0,True,0.04885997420512444,
4.0,1e-09,0.0,False,0.045422362589002854,
4.0,1e-09,1e-12,True,0.04885997413155248,
4.0,1e-09,1e-12,False,0.04542236258683512,
4.0,1e-09,1e-08,True,0.048859984840838026,1.0468383395280343
4.0,1e-09,1e-08,False,0.0454223694310508,
4.333333333333333,1e-06,0.0,True,0.04886894488815153,
4.333333333333333,1e-06,0.0,False,0.04609990059948924,1.9350415780017836
4.333333333333333,1e-06,1e-12,True,0.048868944947561686,
4.333333333333333,1e-06,1e-12,False,0.04609990059240549,
4.333333333333333,1e-06,1e-08,True,0.048868917215728676,
4.333333333333333,1e-06,1e-08,False,0.04609990822423337,1.935041583462493
4.333333333333333,1e-09,0.0,True,0.04886007677843497,
4.333333333333333,1e-09,0.0,False,0.04609458093767572,1.935024950434077
4.333333333333333,1e-09,1e-12,True,0.04886007675396557,
4.333333333333333,1e-09,1e-12,False,0.04609458093935447,
4.333333333333333,1e-09,1e-08,True,0.048860106857114206,
4.333333333333333,1e-09,1e-08,False,0.04609458828871628,1.935024955646363
4.666666666666666,1e-06,0.0,True,0.048858117745268055,
4.666666666666666,1e-06,0.0,False,0.046593232968961604,1.9135163816665033
4.666666666666666,1e-06,1e-12,True,0.048858117807061834,1.0468383967115023
4.666666666666666,1e-06,1e-12,False,0.046593232979186855,
4.666666666666666,1e-06,1e-08,True,0.048858132386484246,
4.666666666666666,1e-06,1e-08,False,0.04659324086911034,1.9135163988434725
4.666666666666666,1e-09,0.0,True,0.04886017251988699,
4.666666666666666,1e-09,0.0,False,0.04659491685973357,
4.666666666666666,1e-09,1e-12,True,0.048860172879537166,
4.666666666666666,1e-09,1e-12,False,0.04659491690813192,
4.666666666666666,1e-09,1e-08,True,0.048860184532786385,
4.666666666666666,1e-09,1e-08,False,0.046594924387309535,
5.0,1e-06,0.0,True,0.04886511730872039,1.0468363069587405
5.0,1e-06,0.0,False,0.04697184698045105,1.886391550281262
5.0,1e-06,1e-12,True,0.04886511731150846,
5.0,1e-06,1e-12,False,0.04697184698778908,
5.0,1e-06,1e-08,True,0.04886512930557202,
5.0,1e-06,1e-08,False,0.04697185545991661,
5.0,1e-09,0.0,True,0.04886022479028536,
5.0,1e-09,0.0,False,0.04697121741341267,
5.0,1e-09,1e-12,True,0.04886022541709484,
5.0,1e-09,1e-12,False,0.04697121747901754,
5.0,1e-09,1e-08,True,0.048860234646012336,
5.0,1e-09,1e-08,False,0.04697122560976322,
5.333333333333333,1e-06,0.0,True,0.048865030424029655,
5.333333333333333,1e-06,0.0,False,0.047259539039766395,
5.333333333333333,1e-06,1e-12,True,0.04886503068358646,
5.333333333333333,1e-06,1e-12,False,0.04725953907248782,
